gene	module
SPAC1D4.11c	M1
SPAC1039.01	M1
SPAC26F1.14c	M5
SPATRNAVAL.01	M3
SPBP4H10.10	M4
SPBTRNAGLU.05	M3
SPAC11D3.05	M4
SPBC215.05	M4
SPNCRNA.605	M2
SPBP23A10.11c	M1
SPAC15A10.13	M1
SPNCRNA.607	M5
SPCC737.04	M5
SPCC4G3.03	M4
SPBC17D1.06	M2
SPAC4G9.22	M4
SPBPB21E7.04c	M5
SPCTRNAVAL.11	M3
SPBPB21E7.07	M4
SPCC18.01c	M2
SPCC24B10.08c	M1
SPAC1F8.06	M1
SPAC56F8.16	M1
SPBC17D1.07c	M1
SPAC3C7.13c	M4
SPAC23D3.12	M1
SPNCRNA.1278	M2
SPBC1289.16c	M5
SPCTRNASER.07	M3
SPCC965.13	M1
SPAC869.07c	M5
SPCTRNAGLY.12	M3
SPAC3G9.08	M1
SPBTRNALEU.08	M3
SPBC428.03c	M2
SPATRNAPRO.03	M3
SPAC29B12.08	M1
SPAC3H1.11	M1
SPCC63.14	M4
SPBTRNAPRO.08	M3
SPBC106.10	M4
SPBC1861.01c	M1
SPAPB24D3.08c	M1
SPNCRNA.857	M2
SPBC887.17	M2
SPCC584.13	M1
SPAC6B12.07c	M4
SPBC4F6.17c	M5
SPCTRNAPRO.09	M3
SPAPB18E9.05c	M1
SPAC2E1P3.01	M5
SPAC17G6.13	M5
SPCC1223.13	M1
SPBTRNAGLU.08	M3
SPAC869.10c	M5
SPAC5H10.13c	M1
SPNCRNA.756	M2
SPAC11E3.14	M4
SPBC1711.11	M5
SPBTRNAPRO.05	M3
SPBC1773.05c	M5
SPCC1494.03	M4
SPAC343.21	M4
SPNCRNA.911	M4
SPAC4D7.02c	M5
SPAPB24D3.02c	M1
SPAC186.01	M1
SPACUNK4.19	M4
SPCC736.06	M1
SPBC1271.07c	M2
SPCC61.03	M4
SPCC1020.02	M1
SPBC725.05c	M1
SPCC622.02	M1
SPAC222.07c	M1
SPAC977.16c	M4
SPNCRNA.1045	M1
SPBTRNAPRO.07	M3
SPNCRNA.1164	M4
SPBC1683.12	M1
SPCC1020.10	M4
SPNCRNA.1427	M4
SPAPB1A11.02	M5
SPAC14C4.09	M1
SPBTRNAASN.03	M3
SPBTRNASER.05	M3
SPNCRNA.1499	M4
SPAC11D3.04c	M2
SPAC343.19	M1
SPATRNALEU.04	M3
SPAC15A10.15	M1
SPBC30B4.09	M4
SPATRNAVAL.02	M3
SPNCRNA.577	M5
SPAC25H1.02	M4
SPCC594.04c	M4
SPBTRNAGLY.05	M3
SPAC29E6.10c	M1
SPAC26H5.09c	M5
SPCTRNAARG.08	M3
SPCC1739.11c	M1
SPAC11D3.09	M4
SPNCRNA.909	M4
SPATRNAPHE.02	M3
SPCTRNAHIS.04	M3
SPCC830.07c	M5
SPAC17G6.17	M1
SPBC1A4.05	M1
SPBPB2B2.01	M4
SPAC222.10c	M1
SPBC32H8.02c	M1
SPAC4A8.04	M4
SPNCRNA.1069	M2
SPBC215.06c	M2
SPBPJ4664.02	M2
SPBC1D7.02c	M1
SPNCRNA.1487	M1
SPNCRNA.1334	M2
SPAP8A3.14c	M1
SPNCRNA.926	M1
SPBC26H8.08c	M2
SPBC19G7.06	M1
SPBPB2B2.05	M2
SPAC869.09	M5
SPCC16A11.01	M4
SPAC513.06c	M5
SPBC1685.17	M4
SPAC11D3.08c	M5
SPAC20G8.02	M1
SPNCRNA.1316	M1
SPBC609.01	M4
SPBC1347.11	M5
SPAC9E9.05	M1
SPAC513.07	M5
SPAC869.08	M5
SPNCRNA.1467	M4
SPCC162.12	M1
SPAC23C11.01	M1
SPCTRNAILE.09	M3
SPCC18.08	M1
SPNCRNA.1235	M2
SPAC212.04c	M5
SPCTRNALEU.11	M3
SPAC823.03	M4
SPBC56F2.05c	M5
SPAC1B3.16c	M2
SPBC685.03	M1
SPNCRNA.1374	M2
SPAPB1A10.14	M1
SPATRNAGLU.04	M3
SPNCRNA.1353	M2
SPAC20G4.03c	M5
SPAC1399.04c	M5
SPCC16A11.08	M4
SPBTRNAPHE.03	M3
SPBC19C7.04c	M5
SPAC140.02	M2
SPAC1006.03c	M1
SPAC30C2.02	M2
SPBC1347.01c	M1
SPBC17G9.13c	M1
SPAC23G3.07c	M1
SPNCRNA.1523	M4
SPBC428.11	M2
SPCC16A11.04	M1
SPNCRNA.1656	M2
SPBTRNAGLY.04	M3
SPBC27B12.02	M1
SPNCRNA.1307	M2
SPBC1E8.03c	M1
SPAC890.05	M2
SPAC2G11.13	M5
SPAPJ691.02	M5
SPBC2D10.17	M1
SPNCRNA.1565	M4
SPBC1711.07	M2
SPBTRNAASN.02	M3
SPBC651.01c	M2
SPAC3C7.14c	M5
SPNCRNA.1271	M1
SPAC2G11.12	M1
SPCC162.08c	M1
SPAC110.01	M1
SPCTRNAGLU.09	M3
SPNCRNA.1055	M4
SPAC521.03	M5
SPBC36.02c	M5
SPAC27E2.02	M1
SPNCRNA.840	M4
SPBTRNAASP.03	M3
SPBPB2B2.02	M4
SPAPB18E9.02c	M1
SPRRNA.06	M3
SPAP14E8.02	M2
SPAC9E9.02	M4
SPBP8B7.16c	M2
SPCC4G3.16	M1
SPCC188.14	M1
SPATRNAGLU.03	M3
SPNCRNA.866	M5
SPBC409.07c	M1
SPBC1289.15	M1
SPNCRNA.743	M1
SPBC685.02	M1
SPAC1F7.02c	M2
SPNCRNA.888	M4
SPAC29B12.14c	M1
SPNCRNA.1473	M4
SPAC13G7.09c	M1
SPCC645.06c	M1
SPNCRNA.1609	M2
SPBC19C7.05	M1
SPAC5H10.06c	M2
SPBP8B7.14c	M1
SPBPB10D8.02c	M4
SPBC32C12.02	M1
SPAC17H9.04c	M2
SPAC1486.09	M2
SPAC7D4.04	M1
SPNCRNA.1252	M5
SPBC25B2.05	M2
SPCC757.11c	M1
SPBC29B5.01	M4
SPAC3G9.01	M1
SPAC19B12.01	M2
SPCC63.07	M2
SPAPB2B4.03	M1
SPNCRNA.1315	M5
SPAC3G6.11	M1
SPBC29A10.09c	M2
SPCTRNAARG.10	M3
SPCC188.10c	M1
SPAC1250.04c	M2
SPBC83.16c	M4
SPAC19D5.06c	M1
SPAC30D11.04c	M1
SPAC27E2.01	M1
SPAC12B10.14c	M1
SPNCRNA.968	M4
SPNCRNA.706	M2
SPBTRNAHIS.01	M3
SPNCRNA.813	M4
SPBC3B8.07c	M5
SPCC1840.08c	M1
SPBC83.15	M2
SPACUNK4.16c	M5
SPBC32H8.07	M4
SPAC664.08c	M2
SPNCRNA.242	M3
SPAC4A8.07c	M1
SPBC30D10.14	M5
SPBP26C9.03c	M1
SPNCRNA.1044	M1
SPBC3H7.14	M1
SPAC13G6.08	M1
SPBC359.05	M2
SPCC290.02	M2
SPBC1709.01	M1
SPBC29B5.02c	M1
SPBP23A10.09	M1
SPCTRNATHR.08	M3
SPBC13A2.03	M1
SPCC320.13c	M1
SPCTRNASER.09	M3
SPAC683.02c	M2
SPNCRNA.1371	M2
SPCC5E4.10c	M1
SPAC9E9.11	M5
SPAC1786.02	M2
SPCC297.04c	M2
SPNCRNA.907	M2
SPAC2G11.11c	M2
SPRRNA.30	M4
SPMITTRNALYS.01	M3
SPAC19A8.07c	M2
SPAC22G7.09c	M1
SPAC17A5.19	M1
SPNCRNA.1606	M2
SPAC26A3.03c	M2
SPAC144.14	M1
SPAC16E8.06c	M2
SPAC1F5.04c	M1
SPCTRNAHIS.03	M3
SPBTRNAASP.04	M3
SPCC553.01c	M1
SPBP23A10.13	M1
SPBC18H10.05	M5
SPAC12B10.03	M1
SPBC28E12.04	M2
SPBC947.11c	M1
SPAC9E9.08	M1
SPCTRNAASN.05	M3
SPBC25D12.03c	M1
SPNCRNA.1419	M2
SPBC2A9.10	M1
SPBC19F5.01c	M5
SPCP20C8.02c	M2
SPATRNASER.02	M3
SPAPB1E7.06c	M2
SPCC663.08c	M5
SPNCRNA.1599	M1
SPBC3B9.01	M5
SPCC24B10.15	M1
SPBTRNALEU.09	M3
SPBC1734.01c	M2
SPCC132.04c	M1
SPNCRNA.1369	M1
SPAC688.02c	M1
SPNCRNA.1071	M4
SPCC338.18	M5
SPBC651.06	M1
SPBC119.12	M1
SPCC320.11c	M2
SPAC824.02	M1
SPAC56F8.09	M2
SPBC409.08	M2
SPMITTRNAASN.01	M3
SPAC56F8.06c	M1
SPAPB1A10.05	M5
SPAC2F7.04	M1
SPBC2A9.02	M5
SPBTRNALEU.10	M3
SPATRNATHR.05	M3
SPNCRNA.1026	M1
SPAC7D4.06c	M1
SPMITTRNAARG.01	M3
SPCC1020.05	M1
SPNCRNA.807	M4
SPNCRNA.1576	M1
