GSM1368273	GSM1368274	GSM1368275	GSM1368276	GSM1368277	GSM1368278	GSM1368279	GSM1368280	GSM1368281	GSM1368282	GSM1368283	GSM1368284	GSM1368285	GSM1368286	GSM1368287	GSM1368288	GSM1368289	GSM1368290	GSM1368291	GSM1368292	GSM1368293	GSM1368294	GSM1368295	GSM1368296	GSM1368297	GSM1368298	GSM1368299	GSM1368300	GSM1368301	GSM1368302	GSM1368303	GSM1368304	GSM1368305	GSM1368306	GSM1368307	GSM1368308	gene
-1.18649091033702	-1.38807329719349	-1.05907249869567	0.378598163413372	0.366958572493519	0.346166397842294	1.35267670419115	1.36631595755851	1.25429747838356	0.883397758149991	1.2994820632315	1.07855945509229	-0.417982838247172	-0.97854003625078	-0.459484699571085	-0.701212274549737	-0.369454074085035	-0.993130275020322	-1.56369370508157	-1.19738397805226	-0.840549319251733	0.33795145518015	0.18100429913439	0.308703460161258	1.34080371985093	1.33912444889525	1.49513444778701	0.978789152163059	1.00343988570039	1.01213035736938	-0.819405964939577	-0.642470958286997	-0.713284879313217	-1.07723902572509	-0.79446495821876	-1.12160008377848	SPAC22A12.17c
-1.53603232976918	-1.5247698617306	-1.42432922432546	0.733319476665833	0.671498210306021	0.708688368440795	1.63036782671367	1.49060971735112	1.4910764437623	-0.077012311354245	0.454824624976195	0.0604797972878447	-0.197380746066453	-0.653232037607796	-0.144742274874029	-0.476734276978828	-0.0970385797222411	-0.62104591775825	-1.76938793343125	-1.80065696586648	-1.10431346097616	0.719909434841381	0.577137572895951	0.67666378030654	1.57700503851937	1.60471303465515	1.71206709342048	-0.0715275582489389	0.0555098721958982	-0.135376289491372	-0.260482929968913	-0.145909019208382	-0.118713785954964	-0.630298542495505	-0.68441087865955	-0.690475367849951	SPAC23H3.15c
-0.70296845466872	-0.905797800388978	-1.0368267822975	1.49419736733701	1.4451378577305	1.32424751774949	1.08354597659747	1.28059494483455	0.921126188148314	-0.803809800802553	-0.447703629908075	-0.700258571808776	-0.545098604446119	-0.942398958228214	-0.665539518678253	-0.51103317817969	-0.561769556636146	-0.714257273716887	-0.875044977353341	-0.951836637271892	-0.767331200916806	1.41966890129542	1.53874027082073	1.4802158893901	1.27063471256195	1.73443298558535	1.42762629032828	-0.766602857559643	-0.307147277688773	-0.803249351573036	-0.548104514282523	-0.526983137694384	-0.554218154046774	-0.507465761401919	-0.784164735316504	-0.490558167513636	SPBC660.05
-1.25671508406588	-1.63383574943656	-1.05980014109206	0.651395657927521	0.539693294379717	0.628761945658957	1.59635667076123	1.80244604190194	1.78344874903332	-0.0951401911140793	0.14367268636168	-0.0164983880334217	-0.151576354333333	-0.679761921809795	0.169107539249157	-0.427725611092001	0.0633034130136428	-0.418496334707082	-1.76419107110141	-1.82957291936479	-0.945254539450604	0.616478264882916	0.296938951883223	0.511197663660499	1.66900600684034	1.61845677662397	1.78322622782694	-0.39093120931612	-0.28807988002422	-0.289660039924086	-0.242753857811815	-0.00465382204323366	-0.238673849468051	-0.75784052839887	-0.674278410157679	-0.708049987259966	SPBC24C6.09c
-1.1419400203681	-1.18888462307108	-0.828763275083778	1.15830256475136	1.07444026355435	1.11739468164717	1.60016328890298	1.41234305465202	1.43952060734357	-0.741213171932567	-0.324216880998431	-0.440822428374993	-0.648409758924171	-0.823751330074969	-0.496289832222629	-0.637866775595616	-0.501260880129786	-0.765761500561525	-1.0350991763801	-0.884395366664368	-0.773075851624728	1.14375136968096	1.13490749485858	1.20305492374808	1.52537352448316	1.74815485461602	1.72388823015591	-0.583462854914551	-0.562776730482211	-0.54331477630242	-0.423078222973894	-0.443120352132361	-0.427539595174108	-0.673494935691075	-0.724487068609286	-0.668269450107403	SPCPB16A4.07
-1.7518472292907	-1.61301816166096	-1.54572581476856	0.63106161519613	0.609990149604883	0.842137473066475	1.41618965035475	1.6188180404886	1.62379012743582	0.103912140971176	0.3977221614196	0.235278732915221	-0.225998503174464	-0.590289959028916	-0.00399392964866293	-0.381192044647083	-0.0704092872595157	-0.2303599636187	-1.70499289493573	-1.78768494571031	-1.22240148376286	0.629205370092342	0.465571505607398	0.684897012890849	1.50563964562241	1.50910194125394	1.65297553339276	-0.157792079776696	0.0873167480426417	-0.0671589363475317	-0.464640555559478	-0.138070992298789	-0.292144035699605	-0.496027385632406	-0.685975399582085	-0.583884245951938	SPACUNK4.17
-0.984060956094277	-1.07036572253045	-0.896162792356417	1.43960978601254	1.23187155681794	1.53668690911788	1.55220691003952	1.48342827453072	1.29343490906597	-0.376078794234317	-0.0404663926218708	-0.277612354341185	-0.691735376977099	-0.846387499544222	-0.383842527364642	-0.516032821420283	-0.517972610872925	-0.621814692018707	-1.00420766379358	-1.00121467642457	-0.985455809377945	1.2867643477445	0.976217768436856	1.17069350193951	1.41111094288949	1.39901137090453	1.41239855903669	-0.714185801898783	-0.283187974749105	-0.404915971606968	-0.514965418371538	-0.88565609953567	-0.589273564569611	-1.08755725542431	-0.773917587651224	-0.726364472756436	SPBC839.06
-1.42234188499789	-1.30660132924836	-1.38317047039285	0.605581163736038	0.411084537558497	0.580661646993578	1.63961893022333	1.92144004490228	1.89347874913757	-0.0738680741196618	0.0174087184696322	-0.0673696804915768	-0.161200137038847	-0.500551645845645	0.0734718633132766	-0.538368854232064	0.0760607794116309	-0.28075419403645	-1.58524277730364	-1.62250525724489	-1.3050736112251	0.515434706151933	0.17836253400555	0.410082289680892	1.85577968688613	1.58022356380348	1.72158399557634	-0.305089505669335	-0.183627565489528	-0.38062693283714	-0.247358924148077	0.0447279853730989	-0.229083709163208	-0.630098494874189	-0.659414720534196	-0.642653426330615	SPBC16E9.16c
-1.49196011653235	-1.5669116777904	-1.40029543279415	0.275615310649584	0.374154009533379	0.396978372363614	1.62289729327788	1.85576404148643	1.97470578459984	0.202814801495427	0.21709893506985	0.280833109310544	-0.204256094649766	-0.472600839584056	0.0298270235861375	-0.436829200284577	0.165755833303352	-0.19980069376934	-1.62836572906315	-1.67434971494475	-0.97101537365058	0.313759929321602	0.0472049604457198	0.158603465739983	1.69814888527924	1.67027367728337	1.76460516328476	0.0101743065967485	-0.124422420300666	-0.0925767597283732	-0.413261129384676	0.0705272904875408	-0.169733997671411	-0.899481976216135	-0.761254560115323	-0.622626476635305	SPAC139.05
-1.45904768630591	-1.46021910603493	-1.24619428966827	0.00996886072089769	0.0406379378791	0.173147244444175	1.34667771795471	1.3577297214131	1.35963891586574	0.739342648794795	1.43796723537364	1.25781126437392	-0.294289740875084	-0.822722567858526	-0.285947876215178	-0.834372523859063	-0.520665696554489	-0.732453176085136	-1.51548679096523	-1.46275566274368	-1.205312922444	0.11758327574845	-0.0595428219298466	-0.0465286626803793	1.23359092444561	1.49170730938756	1.43577579191271	0.837617043519531	1.16683763478551	0.959544963281184	-0.204772356571806	-0.022360222218347	-0.192913324267364	-0.96157560987737	-0.652217839554537	-0.986199613191499	SPBC1289.14
