gene	module
SPCTRNAILE.09	M3
SPCC18.08	M4
SPNCRNA.1235	M5
SPAC212.04c	M3
SPCTRNALEU.11	M3
SPAC823.03	M2
SPBC56F2.05c	M2
SPAC1B3.16c	M1
SPBC685.03	M4
SPNCRNA.1374	M5
SPAPB1A10.14	M4
SPATRNAGLU.04	M3
SPNCRNA.1353	M3
SPAC20G4.03c	M2
SPAC1399.04c	M3
SPCC16A11.08	M2
SPBTRNAPHE.03	M3
SPBC19C7.04c	M2
SPAC140.02	M5
SPAC1006.03c	M4
SPAC30C2.02	M5
SPBC1347.01c	M4
SPBC17G9.13c	M4
SPAC23G3.07c	M4
SPNCRNA.1523	M2
SPBC428.11	M5
SPCC16A11.04	M4
SPNCRNA.1656	M5
SPBTRNAGLY.04	M3
SPBC27B12.02	M5
SPNCRNA.1307	M1
SPBC1E8.03c	M4
SPAC890.05	M5
SPAC2G11.13	M4
SPAPJ691.02	M3
SPBC2D10.17	M4
SPNCRNA.1565	M2
SPBC1711.07	M5
SPBTRNAASN.02	M3
SPBC651.01c	M5
SPAC3C7.14c	M3
SPNCRNA.1271	M3
SPAC2G11.12	M4
SPCC162.08c	M4
SPAC110.01	M4
SPCTRNAGLU.09	M3
SPNCRNA.1055	M1
SPAC521.03	M3
SPBC36.02c	M3
SPAC27E2.02	M4
SPNCRNA.840	M1
SPBTRNAASP.03	M3
SPBPB2B2.02	M2
SPAPB18E9.02c	M4
SPRRNA.06	M3
SPAP14E8.02	M5
SPAC9E9.02	M1
SPBP8B7.16c	M5
SPCC4G3.16	M4
SPCC188.14	M4
SPATRNAGLU.03	M3
SPNCRNA.866	M4
SPBC409.07c	M4
SPBC1289.15	M4
SPNCRNA.743	M4
SPBC685.02	M4
SPAC1F7.02c	M5
SPNCRNA.888	M1
SPAC29B12.14c	M4
SPNCRNA.1473	M2
SPAC13G7.09c	M4
SPCC645.06c	M4
SPNCRNA.1609	M5
SPBC19C7.05	M4
SPAC5H10.06c	M5
SPBP8B7.14c	M4
SPBPB10D8.02c	M1
SPBC32C12.02	M4
SPAC17H9.04c	M5
SPAC1486.09	M5
SPAC7D4.04	M4
SPNCRNA.1252	M3
SPBC25B2.05	M5
SPCC757.11c	M4
SPBC29B5.01	M2
SPAC3G9.01	M4
SPAC19B12.01	M5
SPCC63.07	M5
SPAPB2B4.03	M4
SPNCRNA.1315	M3
SPAC3G6.11	M4
SPBC29A10.09c	M5
SPCTRNAARG.10	M3
SPCC188.10c	M4
SPAC1250.04c	M5
SPBC83.16c	M2
SPAC19D5.06c	M4
SPAC30D11.04c	M4
SPAC27E2.01	M4
SPAC12B10.14c	M4
SPNCRNA.968	M2
SPNCRNA.706	M5
SPBTRNAHIS.01	M3
SPNCRNA.813	M1
SPBC3B8.07c	M3
SPCC1840.08c	M4
SPBC83.15	M5
SPACUNK4.16c	M2
SPBC32H8.07	M2
SPAC664.08c	M5
SPNCRNA.242	M3
SPAC4A8.07c	M4
SPBC30D10.14	M2
SPBP26C9.03c	M4
SPNCRNA.1044	M4
SPBC3H7.14	M4
SPAC13G6.08	M5
SPBC359.05	M5
SPCC290.02	M5
SPBC1709.01	M4
SPBC29B5.02c	M4
SPBP23A10.09	M4
SPCTRNATHR.08	M3
SPBC13A2.03	M4
SPCC320.13c	M4
SPCTRNASER.09	M3
SPAC683.02c	M5
SPNCRNA.1371	M1
SPCC5E4.10c	M4
SPAC9E9.11	M3
SPAC1786.02	M5
SPCC297.04c	M5
SPNCRNA.907	M5
SPAC2G11.11c	M5
SPRRNA.30	M1
SPMITTRNALYS.01	M3
SPAC19A8.07c	M5
SPAC22G7.09c	M4
SPAC17A5.19	M4
SPNCRNA.1606	M1
SPAC26A3.03c	M5
SPAC144.14	M4
SPAC16E8.06c	M5
SPAC1F5.04c	M4
SPCTRNAHIS.03	M3
SPBTRNAASP.04	M3
SPCC553.01c	M4
SPBP23A10.13	M4
SPBC18H10.05	M4
SPAC12B10.03	M4
SPBC28E12.04	M5
SPBC947.11c	M4
SPAC9E9.08	M4
SPCTRNAASN.05	M3
SPBC25D12.03c	M4
SPNCRNA.1419	M5
SPBC2A9.10	M4
SPBC19F5.01c	M4
SPCP20C8.02c	M5
SPATRNASER.02	M3
SPAPB1E7.06c	M5
SPCC663.08c	M3
SPNCRNA.1599	M4
SPBC3B9.01	M1
SPCC24B10.15	M4
SPBTRNALEU.09	M3
SPBC1734.01c	M5
SPCC132.04c	M4
SPNCRNA.1369	M4
SPAC688.02c	M4
SPNCRNA.1071	M2
SPCC338.18	M3
SPBC651.06	M4
SPBC119.12	M4
SPCC320.11c	M5
SPAC824.02	M4
SPAC56F8.09	M5
SPBC409.08	M5
SPMITTRNAASN.01	M3
SPAC56F8.06c	M4
SPAPB1A10.05	M3
SPAC2F7.04	M4
SPBC2A9.02	M2
SPBTRNALEU.10	M3
SPATRNATHR.05	M3
SPNCRNA.1026	M4
SPAC7D4.06c	M4
SPMITTRNAARG.01	M3
SPCC1020.05	M4
SPNCRNA.807	M1
SPNCRNA.1576	M4
